Año,Consumo Cerveza Per Capita,Consumo Fertilizante,Consumo Pescados Per Capita,Consumo Recursos Fosiles Per Capita,Consumo Fruta Per Capita,Consumo Gas,Consumo Aceite Per Capita,Consumo Huevos Per Capita,Consumo Leche Per Capita,Consumo Vegetales Per Capita,Consumo Vino Per Capita,Exportacion Bienes & Servicios,Exportacion de Comida,Exportacion de Manufacturas,Exportacion de Servicios,Gasto en Salud,Gasto en Educacion,Gasto en Salarios Publicos,Tasa de Natalidad,Tasa de Mortalidad,Empleo Industrial %,Muerte Infantil,Expectativa de Vida,Literatura,Suscripciones a Celulares,Utilizacion de Internet,Densidad Poblacional,Produccion Agricola $,Tierra Productiva %,Produccion de Carne,Produccion de Leche,PBI per Capita
2006,2.57,1518789.0,8.990620613098145,17675.69,77.26376342773438,406.505,7.127006000000001,9.030313491821287,181.3108367919922,64.21446228027344,4.67,64945397760.0,44.59774398803711,31.770658493041992,14.510000228881836,15.1,15.50984001159668,,18.194,0.7369,23.755,1.4399999618530277,75.4,98.61080169677734,31510390.0,8261401.0,14.425,23964600000.0,12.73582363128662,4629501.0,10493569.0,16490.473
2007,2.75,1851030.0,7.225098133087158,18939.355,65.3232192993164,427.122,7.868006999999999,9.445155143737791,192.88731384277344,66.88914489746094,4.65,70247833600.0,50.40375900268555,30.95598602294922,15.1899995803833,14.4,15.101570129394531,,18.005,0.7748,24.322,1.4,75.0,,40401772.0,10346509.0,14.571,32156766000.0,13.31279754638672,4912720.0,9822337.0,17891.943
2008,3.16,1314956.0,7.721346378326416,19031.121,74.58028411865234,431.88724,7.8724106,9.87936305999756,200.0224609375,66.45307159423828,4.45,70767583232.0,52.59630584716797,30.84794044494629,14.0,14.66,15.74783992767334,,17.812,0.7467,24.121,1.3699999809265138,75.6,,46508776.0,11322013.0,14.716,38083320000.0,12.884543418884276,4997075.0,10320318.0,18520.305
2009,3.23,1233690.0,6.030869483947754,17968.44,74.26868438720703,418.3556,7.449,10.727039337158203,189.27044677734372,65.1235122680664,4.31,64152858624.0,49.55859756469727,31.97601318359375,15.899999618530272,16.42,16.02066993713379,,17.849,0.7410000000000001,23.27,1.3300000190734864,75.9,98.9834213256836,52482780.0,13832677.0,14.866,26742136000.0,12.530466079711914,5357214.0,10366290.0,17328.977
2010,3.32,1594916.0,5.780035495758057,18552.355,70.07042694091797,420.87418,7.9843545,10.970067024230955,186.17112731933597,67.68041229248047,3.91,73068126208.0,49.639896392822266,32.18846130371094,15.800000190734863,16.69,15.047969818115234,,17.87,0.7661,23.34,1.2899999618530271,75.7,98.95497131347656,57082296.0,18495056.0,15.018,40122899000.0,13.87844467163086,4721922.0,10626288.0,18979.992
2011,3.5,1765046.0,5.940072536468506,19099.428,86.83106231689453,438.3979,8.188818000000001,11.410139083862305,180.22219848632807,65.85079956054688,3.14,76099584000.0,52.15192413330078,31.707393646240234,14.850000381469728,16.28,15.158559799194336,,17.806,0.751,23.944,1.2399999618530275,76.1,99.10832977294922,60722728.0,21175575.0,15.172,50015364000.0,14.170768737792969,4781299.0,11552886.0,20003.0
2012,3.29,1550216.0,5.789973735809326,19821.71,83.52962493896484,456.6421,8.611109,11.609947204589844,185.7391662597656,67.79969787597656,3.53,72973180928.0,52.16283416748047,31.170921325683597,15.100000381469728,16.66,14.51826000213623,,17.729,0.7394000000000001,24.046,1.1899999618530277,76.5,99.10523223876952,64327648.0,23409419.0,15.33,49334647000.0,14.526307106018066,5017727.0,11339530.0,19599.0
2013,3.35,1615950.0,7.079993724822998,20265.033,75.71994018554688,460.2769,9.054003000000002,10.869990348815918,183.47984313964844,66.63994598388672,3.51,70404349952.0,54.39640808105469,31.61317443847656,15.270000457763672,16.54,14.457929611206056,,17.632,0.7494000000000001,23.947,1.1300000190734865,76.5,99.1219482421875,67361512.0,25390573.0,15.489,51394670000.0,14.506210327148438,5344253.0,10971100.0,19873.0
2014,3.37,1658388.0,5.880067825317383,20020.451,85.66099548339844,461.5498,8.871545000000001,12.02013874053955,187.5821685791016,68.49079132080078,3.21,65490710528.0,54.34618377685547,31.26206398010254,16.3700008392334,16.29,13.79932975769043,12.872711181640623,17.504,0.7447,24.699,1.0800000190734864,76.8,98.99388885498048,61234216.0,27707168.0,15.648,49528136000.0,14.323872566223145,5237647.0,11009900.0,19183.0
2015,3.39,1337063.0,7.209930419921875,20104.195,87.879150390625,466.5257,8.953651,15.029854774475098,193.6281280517578,69.23932647705078,3.41,63671787520.0,59.93974304199219,28.15912628173828,18.8700008392334,16.5,13.96331024169922,13.168381690979004,17.346,0.7543000000000001,24.668,1.0199999809265137,76.8,99.17996215820312,61842012.0,29433430.0,15.806,60356793000.0,14.323872566223145,5485340.0,12060900.0,19502.0
2016,3.62,2004055.0,6.06993579864502,19913.398,75.16920471191406,482.1001,8.594215,15.679834365844728,180.57809448242188,69.35926818847656,3.13,67057442816.0,62.85341644287109,25.647985458374023,18.809999465942383,13.47,13.35554027557373,12.432860374450684,16.824,0.7947000000000001,24.763,0.9699999809265136,76.3,99.12500762939452,63719804.0,30990901.0,15.957,53899226000.0,14.323872566223145,5396589.0,10292200.0,18875.0
2017,3.62,1834450.0,7.289976119995117,19667.014,77.30974578857422,483.00027,8.419031,15.769948959350586,170.25942993164062,71.04976654052734,3.17,68811259904.0,59.82492446899414,27.674341201782227,20.90999984741211,16.05,13.263919830322266,12.75083827972412,16.206,0.7692000000000001,24.845,0.9199999809265136,76.8,,61897380.0,32730336.0,16.098,51212530000.0,14.323872566223145,5703987.0,10097500.0,19200.906
2018,3.62,2065066.0,7.219975471496582,19227.025,79.60973358154297,487.02142,7.952761000000001,16.0699462890625,161.68946838378906,69.70977020263672,2.88,69255774208.0,54.45316696166992,19.45804977416992,19.88999938964844,15.03,12.523340225219728,12.067359924316406,15.187,0.768,,0.8600000381469727,77.0,99.00386810302734,58598040.0,34509360.0,16.229,41876065000.0,14.323872566223145,5934989.0,10526600.0,18556.383
2019,3.62,2260279.0,7.1600518226623535,17843.926,80.54058074951172,465.58917,7.257098,15.910115242004396,160.30116271972656,66.1404800415039,2.88,75559567360.0,58.76653671264648,16.55487060546875,18.46999931335449,15.47,12.530070304870604,11.623353958129885,14.783,0.76,,0.8100000381469727,77.3,,56352948.0,35751668.0,16.35,38179048000.0,,6152457.0,10339935.0,
2020,,,,16580.164,,439.31244,6.6030923,,,,,62467473408.0,64.88636779785156,14.421449661254885,14.609999656677246,,,,14.125,0.8509000000000001,,0.7599999904632568,75.9,,54763900.0,38505807.0,16.456,33421311000.0,,6226820.0,11113188.0,
2021,,,,18071.082,,459.35156,7.5225093,,,,,,,,,,,,13.902,0.8955000000000001,,,75.4,,,,16.544,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,16.63,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,16.726,,,,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,16.83,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,16.932,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,17.033,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,17.132,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,17.23,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,17.327,,,,,
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,17.422,,,,,
2031,,,,,,,,,,,,,,,,,,,,,,,,,,,17.515,,,,,
2032,,,,,,,,,,,,,,,,,,,,,,,,,,,17.607,,,,,
2033,,,,,,,,,,,,,,,,,,,,,,,,,,,17.697,,,,,
2034,,,,,,,,,,,,,,,,,,,,,,,,,,,17.786,,,,,
2035,,,,,,,,,,,,,,,,,,,,,,,,,,,17.873,,,,,
2036,,,,,,,,,,,,,,,,,,,,,,,,,,,17.958,,,,,
2037,,,,,,,,,,,,,,,,,,,,,,,,,,,18.041,,,,,
2038,,,,,,,,,,,,,,,,,,,,,,,,,,,18.122,,,,,
2039,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,,,,,
2040,,,,,,,,,,,,,,,,,,,,,,,,,,,18.276,,,,,
2041,,,,,,,,,,,,,,,,,,,,,,,,,,,18.348,,,,,
2042,,,,,,,,,,,,,,,,,,,,,,,,,,,18.417,,,,,
2043,,,,,,,,,,,,,,,,,,,,,,,,,,,18.484,,,,,
2044,,,,,,,,,,,,,,,,,,,,,,,,,,,18.548,,,,,
2045,,,,,,,,,,,,,,,,,,,,,,,,,,,18.608,,,,,
2046,,,,,,,,,,,,,,,,,,,,,,,,,,,18.666,,,,,
2047,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,
2048,,,,,,,,,,,,,,,,,,,,,,,,,,,18.771,,,,,
2049,,,,,,,,,,,,,,,,,,,,,,,,,,,18.819,,,,,
2050,,,,,,,,,,,,,,,,,,,,,,,,,,,18.863,,,,,
2051,,,,,,,,,,,,,,,,,,,,,,,,,,,18.903,,,,,
2052,,,,,,,,,,,,,,,,,,,,,,,,,,,18.939,,,,,
2053,,,,,,,,,,,,,,,,,,,,,,,,,,,18.972,,,,,
2054,,,,,,,,,,,,,,,,,,,,,,,,,,,19.001,,,,,
2055,,,,,,,,,,,,,,,,,,,,,,,,,,,19.026,,,,,
2056,,,,,,,,,,,,,,,,,,,,,,,,,,,19.047,,,,,
2057,,,,,,,,,,,,,,,,,,,,,,,,,,,19.065,,,,,
2058,,,,,,,,,,,,,,,,,,,,,,,,,,,19.08,,,,,
2059,,,,,,,,,,,,,,,,,,,,,,,,,,,19.091,,,,,
2060,,,,,,,,,,,,,,,,,,,,,,,,,,,19.098,,,,,
2061,,,,,,,,,,,,,,,,,,,,,,,,,,,19.103,,,,,
2062,,,,,,,,,,,,,,,,,,,,,,,,,,,19.104,,,,,
2063,,,,,,,,,,,,,,,,,,,,,,,,,,,19.102,,,,,
2064,,,,,,,,,,,,,,,,,,,,,,,,,,,19.098,,,,,
2065,,,,,,,,,,,,,,,,,,,,,,,,,,,19.091,,,,,
2066,,,,,,,,,,,,,,,,,,,,,,,,,,,19.081,,,,,
2067,,,,,,,,,,,,,,,,,,,,,,,,,,,19.068,,,,,
2068,,,,,,,,,,,,,,,,,,,,,,,,,,,19.052,,,,,
2069,,,,,,,,,,,,,,,,,,,,,,,,,,,19.033,,,,,
2070,,,,,,,,,,,,,,,,,,,,,,,,,,,19.011,,,,,
2071,,,,,,,,,,,,,,,,,,,,,,,,,,,18.987,,,,,
2072,,,,,,,,,,,,,,,,,,,,,,,,,,,18.959,,,,,
2073,,,,,,,,,,,,,,,,,,,,,,,,,,,18.929,,,,,
2074,,,,,,,,,,,,,,,,,,,,,,,,,,,18.896,,,,,
2075,,,,,,,,,,,,,,,,,,,,,,,,,,,18.86,,,,,
2076,,,,,,,,,,,,,,,,,,,,,,,,,,,18.822,,,,,
2077,,,,,,,,,,,,,,,,,,,,,,,,,,,18.782,,,,,
2078,,,,,,,,,,,,,,,,,,,,,,,,,,,18.74,,,,,
2079,,,,,,,,,,,,,,,,,,,,,,,,,,,18.695,,,,,
2080,,,,,,,,,,,,,,,,,,,,,,,,,,,18.649,,,,,
2081,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,,,,
2082,,,,,,,,,,,,,,,,,,,,,,,,,,,18.549,,,,,
2083,,,,,,,,,,,,,,,,,,,,,,,,,,,18.495,,,,,
2084,,,,,,,,,,,,,,,,,,,,,,,,,,,18.44,,,,,
2085,,,,,,,,,,,,,,,,,,,,,,,,,,,18.383,,,,,
2086,,,,,,,,,,,,,,,,,,,,,,,,,,,18.325,,,,,
2087,,,,,,,,,,,,,,,,,,,,,,,,,,,18.264,,,,,
2088,,,,,,,,,,,,,,,,,,,,,,,,,,,18.202,,,,,
2089,,,,,,,,,,,,,,,,,,,,,,,,,,,18.139,,,,,
2090,,,,,,,,,,,,,,,,,,,,,,,,,,,18.074,,,,,
2091,,,,,,,,,,,,,,,,,,,,,,,,,,,18.008,,,,,
2092,,,,,,,,,,,,,,,,,,,,,,,,,,,17.941,,,,,
2093,,,,,,,,,,,,,,,,,,,,,,,,,,,17.874,,,,,
2094,,,,,,,,,,,,,,,,,,,,,,,,,,,17.805,,,,,
2095,,,,,,,,,,,,,,,,,,,,,,,,,,,17.736,,,,,
2096,,,,,,,,,,,,,,,,,,,,,,,,,,,17.665,,,,,
2097,,,,,,,,,,,,,,,,,,,,,,,,,,,17.595,,,,,
2098,,,,,,,,,,,,,,,,,,,,,,,,,,,17.523,,,,,
2099,,,,,,,,,,,,,,,,,,,,,,,,,,,17.451,,,,,
2100,,,,,,,,,,,,,,,,,,,,,,,,,,,17.379,,,,,
